百花齐放	万马奔腾
彩云追月	骏马迎春
小龙辞岁	骏马迎春
竹梅品格	龙马精神
壮士喜骏马	红花爱英雄
云霞出海曙	骏马跃关山
迎春燕语巧	踏雪马蹄香
一堂开淑景	万马会新春
扬鞭催骏马	把酒会春风
燕莺新气象	龙马壮精神
雪中飞赤兔	月下赶黄彪
小龙舞九州	大骥驰千里
闻鸡先起舞	跃马共迎春
闻鸡思奋发	跃马抖精神
万马争飞跃	百花展笑颜
万马奔腾日	千门幸福春
万马奔腾日	九州幸福春
天高鹏展翼	路远马扬蹄
蹄花沾晓露	柳浪饰春风
霜蹄千里骏	风翮九霄鹏
神鞭催骏马	祖国壮金瓯
蛇舞长城雪	马嘶北国风
三春开盛纪	万马闯雄关
三春播喜气	万马荡雄风
人饮春节酒	马渡风月关
群星瞻北斗	万马啸东风
马跃阳关道	春回杨柳枝
马跃康庄道	人迎幸福春
马啸关山月	莺歌杨柳春
马腾改革路	国展富强图
马腾风雪舞	春到杏花红
马踏春锦绣	莺歌世风流
柳营晨试马	虎帐夜谈兵
柳绿春江月	旗红骏马图
立马千山矮	迎春万木荣
立马昆仑小	腾龙世纪新
腊鼓催青骏	春风策紫骝
鲲鹏飞玉宇	骐骥跃神州
凯歌送旧岁	骏马迎新春
凯歌辞旧岁	骏马迎新春
骏马生双翼	鸿图壮九州
金蟒穿云去	紫骝踏雪来
花绽春光谱	马驰中国风
花香招鸟语	马跃起龙图
花开天下福	马跃人间春
海阔凭鱼跃	路遥任马驰
共莺传捷报	赤兔踏春光
风度竹流韵	马驰春作声
丰年飞瑞雪	骏马跃长征
春新门载福	志远马扬蹄
春色绿千里	马蹄香万家
春来山水秀	马跃路途宽
春拂芬芳地	马奔锦绣程
乘风腾骏马	兴国舞神龙
草枯鹰眼疾	霜尽马蹄轻
百花开锦绣	万马起云烟
白鹅游暖岸	金马啸长风
风度竹流韵	马驰春作声
花开天下福	马跃人间春
马去雄风在	羊来福气生
马有知途德	羊存跪乳恩
三羊开景泰	双燕舞春风
腊鼓催神骏	春风送吉羊
三羊生瑞气	百鸟唤春光
骏马归山野	灵羊爱草原
马嘶飞雪里	羊舞画图中
骏马春常在	吉羊福又添
腊鼓催神骏	春风送吉羊
马有知途德	羊存跪乳恩
马革酬壮志	羊碑纪丰功
马蹄留胜迹	羊毫谱新歌
春来羊起舞	雪化马归山
马带祥云去	羊铺锦绣来
马带祥云去	羊挟惠风来
红梅赠马岁	彩烛耀羊年
马首开新纪	羊肠拓锦途
盛世千家乐	新春百家兴
千年迎新春	瑞雪兆丰年
黄莺鸣翠柳	紫燕剪春风
盛世千家乐	新春百家兴
千年迎新春	瑞雪兆丰年
春花含笑意	爆竹增欢声
喜滋滋迎新年	笑盈盈辞旧岁
春到红鬃马上	喜临绿柳门前
春到江南塞北	马腾正气清风
大地生香吐艳	神州跃马争春
飞雪片片凝瑞	马蹄声声报春
骏马秋风蓟北	杏花春雨江南
留下小龙胜景	迎来骏马新春
日丽风和景艳	人欢马叫春新
尚存金蛇灵气	重振龙马精神
天马横空出世	腊梅傲雪迎春
雪片纷纷凝瑞	马蹄得得报春
雪瑞年丰福满	人欢马叫春浓
骏马四蹄击鼓	羚羊双角开春
立志当怀虎胆	求知莫畏羊肠
马啸英雄浩气	羊鸣世纪春光
喜鹊登枝祝福	灵羊及地呈祥
大地歌唤彩云	满园春关不住
悠悠乾坤共老	昭昭日月争光
喜滋滋迎新年	笑盈盈辞旧岁
共享锦绣年华	相伴健康天使
昂首扬鬃腾浩气	奋蹄踏雪展春风
八骏风驰千里近	一年花发十分红
白马壮心奔大道	青春浩气献中华
百花齐放春光好	万马奔腾国步雄
百花齐放春光好	万马奔腾气象新
爆竹声声催快马	梅花朵朵笑春风
奔彼岸千帆竞渡	越坦途万马扬鞭
奔腾骏马驰大道	浩荡春风遍神州
伯乐明眸识好马	良才妙手展宏图
伯乐选贤识骏骥	英雄酬志效鲲鹏
策马前驱奔四化	闻鸡起舞超群英
车水马龙农家乐	花香鸟语大地春
车水马龙一路景	花香鸟语万家春
春返神州舒画卷	马腾盛世入诗篇
春风碧水双鸥静	旭日青山万马嘶
春风得意人得志	骏马扬蹄国扬威
春风化雨芭蕉翠	骏马登程杨柳青
春风骏马开新纪	大业宏图壮国威
春风送暖花千树	骏马扬蹄路万程
春风万里辞蛇岁	笑语千家入羊年
春风笑逐福音至	天马喜随捷报飞
春光原自梅梢发	诗句竞于马背吟
春归禹甸风光美	马纵山河气势雄
春花吐艳香千里	快马加鞭跃九州
春江花月宜人景	龙马海风强国图
春日寻芳骑骏马	国家思治用贤才
春天点点芭蕉雨	马步声声杨柳风
春阳送暖芳菲地	骏马奔驰锦绣程
春寓枝头歌唤马	马驰大道喜迎春
