金牛贺岁	玉鼠回宫
金鸡报晓	神犬驱邪
闻鸡起舞	放犬缉私
猴扫妖氛	岁纳祯祥
猴桃献寿	鸟语迎春
龙腾虎啸	腊尽春回
丹凤来仪	金鸡报晓
猴岁呈祥	鸡年纳福
鸡鸣晓旦	燕舞阳春
鹊送喜报	鸡传佳音
神猴辞岁	金凤迎春
雄鸡唱韵	大地回春
藏龙卧虎	人杰地灵
况逢龙岁	绝胜鹏搏
百花齐放	万马奔腾
彩云追月	骏马迎春
小龙辞岁	骏马迎春
竹梅品格	龙马精神
金龙述职	银蛇报春
龙飞蛇舞	燕语莺歌
丙辉瑞应	子庶丰登
丙名世德	子夜凯旋
丙年春满	子夜灯红
丙年凤仪	子夜钟鸣
丙年兴旺	子民腾欢
人喜盛世	鼠兆丰年
子年人瑞	丙岁春温
子年润泽	丙火兴隆
子孙奋发	丙火辉煌
子夜为鼠	丑时属牛
马驰万里	羊恋千山
羊肥马壮	国富民丰
羊迎大吉	岁纳永康
云边雁断	陇上羊归
布谷迎春叫	牵牛接福来
草发黄牛乐	春新紫燕歌
草绿黄牛卧	松青白鹤栖
草暖青牛卧	松高白鹤眠
丑时春入户	牛岁福临门
春催布谷鸟	人效拓荒牛
春来紫燕舞	节到黄牛忙
春丽牛逢草	月明马识途
春暖青牛跃	山高碧水流
春新牛得草	世盛国幅辉
催春布谷叫	报喜牵牛开
丰稔黄牛志	富强赤子心
欢度新春节	高歌小放牛
黄牛耕碧野	白首乐红楼
黄牛耕九野	白马战疆场
黄牛耕绿野	猛虎啸青山
黄牛耕沃野	紫气笼新春
将军爱战马	农夫喜黄牛
金牛奔盛世	紫燕舞新春
客岁送金鼠	今年买铁牛
牛背飘春曲	鹊舌报福音
牛耕芳草地	鹊报吉祥年
牛耕千野绿	鹊闹一庭春
牛开丰稔景	燕舞艳阳天
牛铃飘翠岭	燕语暖春风
牛舞丰收岁	鸟鸣幸福春
牵牛花报喜	布谷鸟催春
人逢如意事	牛舞艳阳春
人勤春来早	草发牛更肥
瑞雪迎春到	金牛贺岁来
深恩红赤日	忠实老黄牛
鼠趁三更去	牛驮五福来
鼠遁春风至	牛携喜气来
鼠去粮满囤	牛来地生金
岁首春到户	牛年福满门
夜草能肥马	生刍可壮牛
乙朗芳草地	丑待吉祥年
莺舞池边柳	牛耕陌上春
愿效黄牛力	尽抒赤子情
紫燕寻旧主	金牛舞新春
金鸡歌国泰	义犬报民安
金鸡交好卷	黄犬送佳音
犬守平安日	梅开如意春
戍日耀吉瑞	狗年臻福祥
百业农为本	万灵猴占先
金猴方启岁	绿柳又催春
鸟语喧花果	猴声啼水帘
申年梅献瑞	猴岁雪兆丰
羊舞丰收岁	猴吟锦绣春
高崖伏虎啸	茅庐卧龙飞
虎啸风声远	龙腾海浪高
龙引千江水	虎越万重山
密林藏伏虎	萝峰染晴云
山月流古雪	风虎浴清泉
事事都如意	虎虎有生气
云中熊虎将	天上凤凰儿
红鸡啼夜晓	黄犬吠年丰
猴引康庄道	鸡迎锦绣春
鸡鸣天放晓	政改地回春
鸡声窗前月	人笑福里春
鸡声天下曙	春意海南潮
金鸡日独立	紫燕春双飞
知廉标五德	报午必三鸣
龙腾翻巨浪	虎啸动春雷
万众思改革	群龙志腾飞
燕语新华喜	龙腾大地春
白鹅游暖岸	金马啸长风
百花开锦绣	万马起云烟
草枯鹰眼疾	霜尽马蹄轻
乘风腾骏马	兴国舞神龙
春拂芬芳地	马奔锦绣程
春来山水秀	马跃路途宽
春色绿千里	马蹄香万家
春新门载福	志远马扬蹄
丰年飞瑞雪	骏马跃长征
风度竹流韵	马驰春作声
共莺传捷报	赤兔踏春光
海阔凭鱼跃	路遥任马驰
花开天下福	马跃人间春
花香招鸟语	马跃起龙图
花绽春光谱	马驰中国风
金蟒穿云去	紫骝踏雪来
骏马生双翼	鸿图壮九州
凯歌辞旧岁	骏马迎新春
凯歌送旧岁	骏马迎新春
鲲鹏飞玉宇	骐骥跃神州
腊鼓催青骏	春风策紫骝
立马昆仑小	腾龙世纪新
立马千山矮	迎春万木荣
柳绿春江月	旗红骏马图
柳营晨试马	虎帐夜谈兵
马踏春锦绣	莺歌世风流
马腾风雪舞	春到杏花红
马腾改革路	国展富强图
马啸关山月	莺歌杨柳春
马跃康庄道	人迎幸福春
马跃阳关道	春回杨柳枝
群星瞻北斗	万马啸东风
人饮春节酒	马渡风月关
三春播喜气	万马荡雄风
三春开盛纪	万马闯雄关
蛇舞长城雪	马嘶北国风
神鞭催骏马	祖国壮金瓯
霜蹄千里骏	风翮九霄鹏
蹄花沾晓露	柳浪饰春风
天高鹏展翼	路远马扬蹄
万马奔腾日	九州幸福春
万马奔腾日	千门幸福春
万马争飞跃	百花展笑颜
闻鸡思奋发	跃马抖精神
闻鸡先起舞	跃马共迎春
小龙舞九州	大骥驰千里
雪中飞赤兔	月下赶黄彪
燕莺新气象	龙马壮精神
扬鞭催骏马	把酒会春风
一堂开淑景	万马会新春
迎春燕语巧	踏雪马蹄香
云霞出海曙	骏马跃关山
壮士喜骏马	红花爱英雄
百年推甲子	福地在春申
碧野青蛙叫	黄山松鼠鸣
丙辉觇瑞应	子庶庆丰登
丙辉腾瑞气	子庶乐丰年
苍松随岁古	子鼠与年新
春潮传喜讯	鼠岁报佳音
春风拂绿柳	灵鼠跳松青
春燕鸣暖树	金鼠跳青松
黄山松鼠跳	绿野早春归
黄山松鼠跳	子夜阳春来
黄莺鸣翠柳	金鼠恋苍松
鹊语红梅放	鼠年喜气浓
人欢为体健	鼠硕因年丰
豕去呈丰稔	鼠来报吉祥
豕去春无限	鼠来岁有余
鼠来豕去远	春到景更新
鼠为生肖首	春乃岁时先
鼠颖题春贴	鹊舌报福音
鼠至调新律	鸡鸣早报春
欣有鼠须笔	喜题燕尾书
新妆鼠嫁女	美景艳迎春
子年春到户	鼠岁喜临门
子时春意闹	鼠岁笑声甜
子时岁交替	鼠节春更新
子为地支首	鼠乃生肖先
子夜松涛劲	鼠年鹊语香
子夜岁交替	鼠年春更新
子夜钟声响	鼠年爆竹喧
蟾宫降玉兔	庭院绽红梅
丁年歌盛世	卯兔耀中华
耕田能获宝	养兔不守株
红梅香小院	玉兔下人间
红梅迎春笑	玉兔出月欢
红梅迎岁笑	玉兔伴娥欢
红梅迎雪放	玉兔踏春来
虎去威犹在	兔来运更昌
虎去雄风在	兔来喜气浓
虎声传捷报	兔影抖春晖
虎威惊盛世	兔翰绘新春
虎啸青山秀	兔奔碧野宽
虎跃前程去	兔携好运来
金鸡迎曙色	玉兔揽春光
金鸡争唱晓	玉兔喜迎春
卯门生喜气	兔岁报新春
卯门生紫气	兔岁报新春
兔归皓月亮	花绽春光妍
兔归月影笑	花绽春光妍
兔毫推赵地	麟管锡张华
兔岁添福气	龙人奋雄程
新春迎玉兔	华夏壮金瓯
寅年春锦绣	卯序业辉煌
玉兔蟾宫笑	红梅五岭香
玉兔迎春到	红梅祝福来
玉兔迎春至	黄莺报喜来
春草连天绿	羊群动地欢
春风追丽日	羊角步青云
春来羊起舞	雪化马归山
春新羊得草	世盛马加鞭
对韵俨龙马	联书大吉羊
红梅赠马岁	彩烛耀羊年
花香丰稔岁	燕舞吉祥图
