鼠去牛来闻虎啸 民殷国富盼龙飞
鼠去牛来欣大治 龙腾虎跃奋新程
数声柳笛飘牛背 无限春光亮马蹄
数声牧笛传新曲 四野耕犁试早春
蹄奋不须鞭震耳 牛勤何用用当头
铁牛喘月平畴绿 赤帜啸风满地红
铁牛拖出满山宝 茧手挖来遍地金
挺身勇灭官仓鼠俯首甘为孺子牛
土生白玉牛羊壮 地产黄金鸡犬欢
为民当效黄牛力报国壮怀赤子心
未许田文轻策马 愿闻老子再骑牛
五岭莺歌又燕舞 九州马叫并牛欢
写完福字描春字 迎到金牛买铁牛
新春乐咏黄牛颂 小院频传喜鹊歌
新春人唱黄牛赞 丰岁诗吟白雪歌
新春喜作黄牛颂 旭日高悬致富门
新村喜盼铁牛到 农家笑望春燕飞
新岁牧歌需纵酒 黄牛奋进不着鞭
一曲牧歌传牛背 无边柳色绿村头
勇当改革排头兵 甘作人民孺子牛
有福人家牛报喜 无边春色燕衔来
有庆年头牛得草 无垠大道马扬蹄
玉鼠回宫传捷报 金牛奋地涌春潮
玉碗生光辉琥珀 金牛焕彩耀星辰
猪肥牛壮家家乐 燕舞莺歌处处春
猪肥牛壮家增福 食足衣丰民自安
子去丑来腾锦绣 鼠归牛到竞辉煌
不知索取只知奉献 勿问收获但问耕耘
灭鼠消灾粮丰人寿 养牛致富国裕家康
喜看大地莺歌燕舞 笑迎农家马壮牛欢
腊尽春归山村添喜气 牛肥马壮门户浴春风
鼠去牛来一元欣复始 春明日丽万象喜更新
喜鹊登梅百族迎佳节 金牛献瑞万里笑春风
乐辞鼠岁处处丰收人人乐 歌颂牛年家家富裕户户歌
鼠岁报佳音市场兴旺迎胜利 牛年逢盛世香港回归庆团圆
