春来眼际	喜上眉梢
春光普照	福气长临
春和景明	物阜年丰
春降大地	福满人间
春明花艳	民富国强
春燕剪梅	喜鹊登春
党兴国旺	物阜民康
风清云静	日暖花香
光华大地	伟业中天
国臻大治	民奔小康
蕙兰并茂	桃李争芳
江山永固	广宇同春
椒花献颂	柏酒迎春
九州竞秀	七耀同辉
九州日丽	五湖景新
九州溢彩	五谷飘香
满园春色	一团和气
梅传春讯	雪兆丰年
全家福气	满院春光
鹊传喜讯	风送佳音
群芳斗艳	百业争荣
人歌四化	鸟唱三春
瑞雪辞岁	腊梅迎春
三春放彩	五福生根
三春淑景	四季宜人
山河秀丽	岁月辉煌
山河永固	大地同春
山河壮丽	日月光华
树承雨露	花沐春光
鹊送喜报	鸡传佳音
百事可乐	万象更新
百顺为福	六合同春
财源茂盛	人寿年丰
春安夏泰	秋稔冬祥
春风及第	瑞霭盈门
春光满室	瑞气盈门
春和景丽	物阜人康
春透寒梅	韵谐青竹
风调雨顺	国盛人和
风光胜旧	岁序更新
风迎新岁	雪兆丰年
河清海晏	人寿年丰
华灯飞彩	喜炮迎春
江山壮伟	桃李芬芳
九州日丽	四化春新
梅开佳景	雪兆丰年
梅映红日	雪兆丰年
门迎百福	户纳千祥
人增寿纪	天转阳和
三山生色	五湖呈祥
山川添秀	大地回春
诗书门第	陶淑人家
岁当盛世	人逢华年
岁丰人寿	春和景明
百族共乐	两岸同春
春风送暖	政策归心
家和业旺	国泰民安
江山若画	岁月如歌
民夸盛会	国展宏图
五羊献瑞	八骏呈祥
白雪融腊	红梅赋诗
爆竹报喜	楹联迎春
爆竹辞旧	桃符迎新
垂杨系马	沙岸泊船
春风梳柳	时雨润苗
春光九十	气象万千
春回柳眼	红人桃腮
春回柳叶	赋献梅花
春临宅第	喜上梅梢
春浓山腹	梅放岭头
春为岁首	梅占花魁
春有新意	景无旧观
椿庭庆集	棣圃春浓
冬迎梅至	春伴燕归
蜂抱花须	鱼吹柳絮
蜂翼弄娇	燕泥衔须
高堂结彩	华宅生辉
光饰竹径	影透花荫
红楼旭日	绿柳芳春
红梅吐蕊	绿竹催春
花开富贵	竹报平安
花香四季	月满一轮
花迎喜气	鸟唱春光
怀同霁月	量洽春风
惠风和畅	化日舒长
江山永固	日月长恒
九州国泰	六合春新
腊梅报喜	飞雪迎春
兰芳春日	桂馥秋风
龙腾虎跃	水啸山吟
龙兴华夏	燕舞阳春
龙吟国瑞	虎啸年丰
绿柳吐絮	白杨飞花
民生有幸	国运无疆
年丰人寿	景泰春和
年年如意	处处春风
牛耕绿野	虎啸青山
千峰月色	五湖春光
乾坤正气	日月光华
群鸥戏水	众鹤游天
人登寿域	世跻春台
人游化日	天与长春
人臻五福	花满三春
日上花梢	莺穿柳带
日薰春杏	风送腊梅
三江生色	四海呈祥
山川毓秀	松柏长春
山间明月	江上春风
时和景奉	雪瑞花奇
岁且更始	时乃日新
岁通盛世	人肇华年
抬头见彩	动手生财
唐虞盛世	天地长春
天开长乐	人到恒春
天开文运	人喜春暘
天涯月色	芳草春晖
香飘四季	春满九州
祥云捧日	玉树临风
新年初气	古国雄风
新岁献瑞	腊梅迎春
萱庭日永	兰室春和
阳春烟景	锦绣文章
阳春召我	淑气宜人
遥山耸翠	远水生光
一声爆响	万里春回
鱼游深水	鸟占高枝
与山同静	随地皆春
鸢飞鱼跃	燕语莺啼
韵耐春风	清宜夜雨
载瞻星气	如写阳春
鸡鸣晓旦	燕舞阳春
金牛贺岁	玉鼠回宫
人喜盛世	鼠兆丰年
同瞻马首	共沐春光
百花齐放	万马奔腾
彩云追月	骏马迎春
竹梅品格	龙马精神
云边雁断	陇上羊归
龙腾盛世	马到长安
一轮红日	三代春风
国强物阜	民富年丰
神蛇瑞岁	骏马祥年
万方春色	千顷湖光
万民便利	百货畅通
百花齐放	万木争荣
百花齐放	万木争春
百花齐放	四海同春
百花齐放	万福频臻
百年盛纪	一代精英
财亲智慧	福伴文明
铲除腐败	保持清廉
城乡比翼	山海扬辉
城乡比翼	工农齐飞
储金备患	积谷防荒
春风得意	科气致祥
春风化雨	壮志凌云
春风及第	政策归心
春风送福	喜气临门
春光播福	和气致祥
春光满面	瑞气盈门
春光满院	瑞气盈门
春光似海	盛世如花
春光永驻	特色频臻
春和景丽	国泰民安
春和景秀	物阜民康
春回大地	国振雄风
春回大地	日暖神州
春回大地	福满人间
春临大地	福满人间
春临大地	喜到人间
党恩浩荡	春意盎然
鼎新革旧	豫立亨通
东风化雨	政策归心
斗星指路	旭日辉春
法制天下	春满人间
风光胜旧	岁月更新
风和日丽	人勤地丰
风流四化	富裕千家
风正国强	物阜民安
凤鸣盛世	龙有传人
福随春至	富伴勤来
光辉世纪	春满神州
国兴两制	户纳千祥
国臻大治	民乐小康
过年最乐	读书更佳
河山溢彩	华夏增辉
弘开盛纪	欢度新春
红梅映日	绿柳催春
红旗引路	翠柳迎春
红旗映日	瑞雪迎春
花明柳暗	山复水重
花香世纪	福满门庭
华灯溢彩	喜报迎春
华坛竞秀	文苑争芳
化臻上理	福享共和
积极进取	勇敢拼搏
家传美德	国展宏图
艰苦奋斗	自力更生
江山不老	神州永春
江山不老	祖国永春
江山不老	祖国长春
江山如画	大地皆春
江山壮丽	桃李芬芳
金瓯永固	玉宇长清
九州安定	万众团结
九州共庆	两岸同春
九州生瑞	四海腾欢
九州生色	两岸连心
九州永泰	四季长春
巨龙奋起	祖国繁荣
开门纳福	举步迎春
科学致富	勤俭持家
励精图治	除旧布新
励精图治	振兴中华
柳丝垂岸	燕尾点波
龙吟虎啸	腊尽春归
绿化祖国	林茂粮丰
绿眠芳草	红插山花
梅传喜讯	雪兆丰年
梅花笑雪	柳浪推春
梅开春色	国展宏图
梅映红霞	雪兆丰年
民富国强	人寿年丰
民欢大有	国庆小康
年丰人乐	国富民强
普天同庆	日月增辉
齐歌四化	共庆三春
千门大喜	万户高歌
勤劳致富	科学兴邦
青春许国	斗志凌云
鹊传喜报	风送佳音
群芳斗艳	百业争雄
群芳斗艳	百家争鸣
