铁	煤
？	！
2002	1991
呐喊	彷徨
周末	日本
马路	人道
树根	花絮
濯足	修身
将乐	遂安
半夏	长春
续断	连翘
分水	连山
出纳	开关
对联	统计
杀狗	钓龟
王瓜	后稷
色难	容易
虎丘	鹏海
钩藤	剪草
山辣	水香
蜜父	蜡兄
儿草	女花
牵牛	逐马
黑丑	红丁
菊婢	桃奴
木瓜	金果
旋花	舞草
人柳	佛桑
茶花	酒树
木贼	花王
开县	合州
武进	文登
桑植	松滋
黄河	青海
葱岭	蒜山
伊尹	阮元
南汇	北流
热风	野草
放肆	收拾
小丑	中午
天下	人中
独眼	对头
马甲	鸡丁
老舍	陈村
安丘	乐陵
白岳	黄山
让水	廉泉
太白	小青
阳曲	阴平
荷泽	荔波
曲阜	长沙
八扯	三拉
山丹	电白
月桂	风兰
苦笑	雅歌
红睡	白痴
接吻	献心
天堂	神户
捞面	泼皮
撬锁	抠门
解体	分心
吃紧	拉稀
公正	母贤
良机	凶器
电话	风言
喝彩	吃光
纳米	放粮
赤壁	乌江
燕语	蛋歌
歧路	长途
鸟道	蚕丛
日子	美男
寒夜	热风
再造	一生
通道	着魔
通道	卡门
求和	出差
黑店	白宫
巨浪	微波
寒舍	热门
身心	项目
水果	火花
帽子	包公
曲线	方针
文人	雅虎
定北	安南
保本	存根
请吧	知了
闭嘴	开心
腐乳	糟糕
武汉	文姬
易经	难过
论点	评弹
错解	对联
武汉	文明
古月	今天
主演	客观
生气	死神
台独	床单
线索	面条
深刻	浮雕
卧底	探头
小心	大脑
表面	钟头
浪费	水花
掌嘴	背心
光棍	火柴
频道	密云
方案	圆规
电子	雷公
赤子	乌贼
脏手	净身
眼袋	面包
打假	逼真
美元	丑角
跑马	蠕虫
洗澡	渡河
采桑	拾柴
赞美	歌德
大汉	小满
抻面	拉皮
精神	鬼怪
孔府	洞房
离异	合同
烟鬼	酒精
电脑	光头
波黑	江青
通道	断言
学XYZ	入WTO
知道	拜佛
锤子	干爹
月圆	风扁
银耳	金牙
驯鸽	斗牛
曲艺	歌德
通道	拜佛
风云	浪笑
宽带	紧跟
漂母	灌夫
口蜜	腹剑
旗鼓	木鱼
普通话	方便人
鸡丝火	鸦片烟
无情对	有意错
马蹄韵	羊角风
南宫牛	西门豹
光明路	方便门
东风恶	欢情薄
苍耳子	白头翁
君子竹	美人蕉
诗书画	松竹梅
金石乐	书画缘
海狗肾	川乌头
天花粉	地骨皮
并蒂莲	合欢花
鸬鹚埠	鹦鹉州
木贼草	水仙花
癸辛街	子午谷
观音柳	罗汉松
不到寺	无定河
金茉莉	木芙蓉
火云洞	金沙滩
龙虎斗	将相和
打樱桃	卖橄榄
白蛇传	黄鹤楼
百草山	万花船
六月雪	九更天
亲贤臣	远小人
鸿门晏	桃园盟
独脚兽	比目鱼
水不干	鱼不尽
心胸阔	天地宽
龙卷风	花露水
张恨水	徐悲鸿
苦楝子	酸枣仁
缶无咎	石敢当
红梅阁	紫霞宫
回龙阁	飞虎山
霜菊瘦	雨梅肥
言必信	行必果
杏花盛	桑叶白
朝前看	往前走
私心重	骨头软
水底月	镜中花
仙人掌	凡士林
满招损	谦受益
陶然亭	张之洞
桃灼灼	柳依依
山抹绿	燕剪柳
过五关	斩六将
龙卷风	云吞面
雪衣娘	玉环使
咬耳朵	嚼舌根
拍马屁	吹牛皮
籍忠寅	书呆子
牛得草	马拉松
乔国老	石家庄
乌拉布	蚕吐丝
千钟禄	一文钱
三岔口	五台山
